Turbine,gradient_scale,roughness_index,max_ridge_step,terrain_level
1,2,1,0,3
2,2,1,0,3
3,2,1,0,3
4,2,1,0,3
5,2,1,0,3
6,2,1,0,3
7,2,1,0,3
8,2,1,0,3
9,2,1,0,3
10,2,1,0,3
11,2,1,0,3
12,2,1,0,3
13,2,1,0,3
14,2,1,0,3
15,2,1,0,3
16,2,1,0,3
17,2,1,0,3
18,2,2,0,4
19,2,2,1,5
20,2,2,1,5
21,2,2,0,4
22,2,2,0,4
23,2,1,0,3
24,2,1,0,3
25,2,1,0,3
26,2,1,0,3
27,2,1,0,3
28,2,1,0,3
29,2,1,0,3
30,2,1,0,3
31,2,1,0,3
32,2,1,0,3
33,2,2,0,4
34,2,1,0,3
35,2,1,0,3
36,2,1,0,3
37,2,1,0,3
38,2,1,0,3
39,2,1,0,3
40,2,1,0,3
41,2,1,0,3
42,2,1,0,3
43,2,1,0,3
44,2,1,0,3
45,2,2,1,5
46,2,2,1,5
47,3,2,0,5
48,2,1,0,3
49,3,2,1,5
50,2,1,0,3
51,2,1,0,3
52,2,1,0,3
53,3,2,1,5
54,5,3,1,5
55,3,3,1,5
56,4,3,1,5
57,2,2,1,5
58,3,3,1,5
59,2,2,1,5
60,2,2,1,5
61,2,1,0,3
62,2,1,0,3
63,2,2,1,5
64,3,2,1,5
65,4,2,1,5
66,3,1,0,4
